title,publication_year,author,publication_title,doi,url,date,journal_abbreviation
application of the littoral cell concept to managing a protected atoll: palmyra atoll national wildlife refuge,2009,"Collen, JD; Gardner, JPA; Garton, DW",Ocean & Coastal Management,10.1016/j.ocecoaman.2009.10.007,https://doi.org/doi:10.1016/j.ocecoaman.2009.10.007,2009-12,Ocean Coast Manage
scale‐dependent effects of habitat on movements and path structure of reef sharks at a predator‐dominated atoll,2009,"Papastamatiou, Yannis P; Lowe, Christopher G; Caselle, Jennifer E; Friedlander, Alan M",Ecology,10.1890/08-0491.1,https://www.ncbi.nlm.nih.gov/pubmed/19449694,2009-04,NA
cascading effects of a plant community shifts across ecosystem boundaries,2010,"Young, Hillary Suzanne",NA,NA,https://purl.stanford.edu/vw007np9389,2010,NA
"spatial and temporal patterns of scleractinian coral, soft coral, and zoanthid disease on a remote, near-pristine coral reef (palmyra atoll, central pacific)",2011,"Williams, Gareth J; Knapp, Ingrid S; Aeby, Greta S; Davy, Simon K",Diseases of Aquatic Organisms,10.3354/dao02323,https://www.ncbi.nlm.nih.gov/pubmed/21648237,2011-04-06,NA
the roles of productivity and ecosystem size in determining food chain length in tropical terrestrial ecosystems,2013,"Young, Hillary S; McCauley, Douglas J; Dunbar, Robert B; Hutson, Michael S; Ter-Kuile, Ana Miller; Dirzo, Rodolfo",Ecology,10.1890/12-0729.1,https://www.ncbi.nlm.nih.gov/pubmed/23687895,2013-03,NA
potential impacts of historical disturbance on green turtle health in the unique & protected marine ecosystem of palmyra atoll (central pacific),2014,"McFadden, Katherine W; Gómez, Andrés; Sterling, Eleanor J; Naro-Maciel, Eugenia",Marine pollution bulletin,10.1016/j.marpolbul.2014.10.012,https://www.ncbi.nlm.nih.gov/pubmed/25455822,2014-12-15,NA
"cryptic species obscure introduction pathway of the blue caribbean sponge (haliclona (soestella) caerulea),(order: haplosclerida) to palmyra atoll, central pacific",2015,"Knapp, Ingrid S; Forsman, Zac H; Williams, Gareth J; Toonen, Robert J; Bell, James J",PeerJ,10.7717/peerj.1170/supp-1,https://www.ncbi.nlm.nih.gov/pubmed/26339548,2015,NA
predation risk influences feeding rates but competition structures space use for a common pacific parrotfish,2017,"Davis, Kathryn; Carlson, Peter M; Bradley, Darcy; Warner, Robert R; Caselle, Jennifer E",Oecologia,10.1007/s00442-017-3857-9,https://www.ncbi.nlm.nih.gov/pubmed/28342012,2017-05,NA
cascading community and ecosystem consequences of introduced palms in tropical islands,2017,"Young, Hillary S; Miller ter-Kuile, Ana; McCauley, Douglas; Dirzo, Rodolfo",Canadian Journal of Zoology,10.1139/cjz-2016-0107,https://cdnsciencepub.com/doi/abs/10.1139/cjz-2016-0107%40cjz-vsi.issue01,2017-03,Can J Zool
"the coconut palm, cocos nucifera, impacts forest composition and soil characteristics at palmyra atoll, central pacific: palms impact forest and soil characteristics",2010,"Young, Hillary S.; Raab, Ted K.; McCauley, Douglas J.; Briggs, Amy A.; Dirzo, Rodolfo",Journal of Vegetation Science,10.1111/j.1654-1103.2010.01219.x,http://doi.wiley.com/10.1111/j.1654-1103.2010.01219.x,2010-12,NA
coral records of central tropical pacific radiocarbon variability during the last millennium: coral <sup>14</sup> c during the last millennium,2010,"Zaunbrecher, Laura K.; Cobb, Kim M.; Beck, J. Warren; Charles, Christopher D.; Druffel, Ellen R. M.; Fairbanks, Richard G.; Griffin, Sheila; Sayani, Hussein R.",Paleoceanography,10.1029/2009PA001788,http://doi.wiley.com/10.1029/2009PA001788,2010-12,Paleoceanography
echolocation signals of a beaked whale at palmyra atoll,2010,"Baumann-Pickering, Simone; Wiggins, Sean M.; Roth, Ethan H.; Roch, Marie A.; Schnitzler, Hans-Ulrich; Hildebrand, John A.",The Journal of the Acoustical Society of America,10.1121/1.3409478,http://asa.scitation.org/doi/10.1121/1.3409478,2010-06,The Journal of the Acoustical Society of America
"behavior of melon-headed whales, <i>peponocephala electra</i> , near oceanic islands",2009,"Brownell Jr., Robert L.; Ralls, Katherine; Baumann-Pickering, Simone; Poole, M. Michael",Marine Mammal Science,10.1111/j.1748-7692.2009.00281.x,http://doi.wiley.com/10.1111/j.1748-7692.2009.00281.x,2009-07,NA
el niño/southern oscillation and tropical pacific climate during the last millennium,2003,"Cobb, Kim M.; Charles, Christopher D.; Cheng, Hai; Edwards, R. Lawrence",Nature,10.1038/nature01779,http://www.nature.com/articles/nature01779,2003-07,Nature
shoreline changes and sediment redistribution at palmyra atoll (equatorial pacific ocean): 1874–present,2009,"Collen, J. D.; Garton, D. W.; Gardner, J. P. A.",Journal of Coastal Research,10.2112/08-1007.1,http://www.bioone.org/doi/abs/10.2112/08-1007.1,2009-05,Journal of Coastal Research
microbial ecology of four coral atolls in the northern line islands,2008,"Dinsdale, Elizabeth A.; Pantos, Olga; Smriga, Steven; Edwards, Robert A.; Angly, Florent; Wegley, Linda; Hatay, Mark; Hall, Dana; Brown, Elysa; Haynes, Matthew; Krause, Lutz; Sala, Enric; Sandin, Stuart A.; Thurber, Rebecca Vega; Willis, Bette L.; Azam, Farooq; Knowlton, Nancy; Rohwer, Forest",PLoS ONE,10.1371/journal.pone.0001584,https://dx.plos.org/10.1371/journal.pone.0001584,2008-02-27,PLoS ONE
biology and ecology of the recreational boneﬁsh fishery at palmyra atoll national wildlife refuge with comparisons to other paciﬁc islands,NA,"Friedlander, Alan M; Caselle, Jennifer E; Beets, Jim; Lowe, Christopher G; Bowen, Brian W; Ogawa, Tom K; Kelley, Kevin M; Calitri, Todd; Lange, Matt; Anderson, Bruce S",NA,NA,NA,NA,NA
"near-surface mixing and pronounced deep-water stratification in a compartmentalised, human-disturbed atoll lagoon system",2011,"Gardner, J. P. A.; Garton, D. W.; Collen, J. D.",Coral Reefs,10.1007/s00338-010-0701-7,http://link.springer.com/10.1007/s00338-010-0701-7,2011-03,Coral Reefs
analyses of dna obtained from shells and brine-preserved meat of the giant clam tridacna maxima from the central pacific ocean,2012,"Gardner, Jpa; Boesche, C; Meyer, Jm; Wood, Ar",Marine Ecology Progress Series,10.3354/meps09625,http://www.int-res.com/abstracts/meps/v453/p297-301/,2012-05-07,Mar. Ecol. Prog. Ser.
"parasitic nematodes of marine fishes from palmyra atoll, east indo-pacific, including a new species of spinitectus (nematoda, cystidicolidae)",2019,"González-Solís, David; Soler-Jiménez, Lilia C.; Aguirre-Macedo, M. Leopoldina; Mclaughlin, John P.; Shaw, Jenny C.; James, Anna K.; Hechinger, Ryan F.; Kuris, Armand M.; Lafferty, Kevin D.; Vidal-Martínez, Víctor M.",ZooKeys,10.3897/zookeys.892.38447,https://zookeys.pensoft.net/article/38447/,2019-11-27,ZK
ecology of a vulnerable shorebird across a gradient of habitat alteration: bristle-thighed curlews ( <i>numenius tahitiensis</i> ) (aves: charadriiformes) on palmyra atoll <sup>1</sup>,2016,"Guerra, Ana Sofía; Micheli, Fiorenza; Wood, Chelsea L.",Pacific Science,10.2984/70.2.3,http://www.bioone.org/doi/10.2984/70.2.3,2016-04,Pacific Science
"arthropod surveys on palmyra atoll, line islands, and insights into the decline of the native tree pisonia grandis (nyctaginaceae) <sup>1</sup>",2007,"Handler, Alex T.; Gruner, Daniel S.; Haines, William P.; Lange, Matthew W.; Kaneshiro, Kenneth Y.",Pacific Science,10.2984/1534-6188(2007)61[485:ASOPAL]2.0.CO;2,http://www.bioone.org/doi/abs/10.2984/1534-6188%282007%2961%5B485%3AASOPAL%5D2.0.CO%3B2,2007-10,Pacific Science
records of non-indigenous marine species at palmyra atoll in the us line islands,2011,"Knapp, I.S.; Godwin, L.S.; Smith, J.E.; Williams, C.J.; Bell, J.J.",Marine Biodiversity Records,10.1017/S1755267211000078,http://www.journals.cambridge.org/abstract_S1755267211000078,2011-10,Mar. Biodivers. Rec.
local extinction of the asian tiger mosquito ( <i>aedes albopictus</i> ) following rat eradication on palmyra atoll,2018,"Lafferty, Kevin D.; McLaughlin, John P.; Gruner, Daniel S.; Bogar, Taylor A.; Bui, An; Childress, Jasmine N.; Espinoza, Magaly; Forbes, Elizabeth S.; Johnston, Cora A.; Klope, Maggie; Miller-ter Kuile, Ana; Lee, Michelle; Plummer, Katherine A.; Weber, David A.; Young, Ronald T.; Young, Hillary S.",Biology Letters,10.1098/rsbl.2017.0743,https://royalsocietypublishing.org/doi/10.1098/rsbl.2017.0743,2018-02,Biol. Lett.
"predators, facilitators, or both? re-evaluating an apparent predator–prey relationship",2011,"Madin, Emp; Madin, Js",Marine Ecology Progress Series,10.3354/meps09162,http://www.int-res.com/abstracts/meps/v431/p299-302/,2011-06-09,Mar. Ecol. Prog. Ser.
"an observation of mating in free-ranging blacktip reef sharks, <i>carcbarbinus melanopterus</i>",2010,"McCauley, Douglas J.; Papastamatiou, Yannis P.; Young, Hillary S.",Pacific Science,10.2984/64.2.349,http://www.bioone.org/doi/10.2984/64.2.349,2010-04,Pacific Science
positive and negative effects of a threatened parrotfish on reef ecosystems: varied impacts of a threatened parrotfish,2014,"Mccauley, Douglas J.; Young, Hillary S.; Guevara, Roger; Williams, Gareth J.; Power, Eleanor A.; Dunbar, Robert B.; Bird, Douglas W.; Durham, William H.; Micheli, Fiorenza",Conservation Biology,10.1111/cobi.12314,http://doi.wiley.com/10.1111/cobi.12314,2014-10,Conservation Biology
"predicting connectivity of green turtles at palmyra atoll, central pacific: a focus on mtdna and dispersal modelling",2014,"Naro-Maciel, Eugenia; Gaughran, Stephen J.; Putman, Nathan F.; Amato, George; Arengo, Felicity; Dutton, Peter H.; McFadden, Katherine W.; Vintinner, Erin C.; Sterling, Eleanor J.",Journal of The Royal Society Interface,10.1098/rsif.2013.0888,https://royalsocietypublishing.org/doi/10.1098/rsif.2013.0888,2014-04-06,J. R. Soc. Interface.
"marine protected areas and migratory species: residency of green turtles at palmyra atoll, central pacific",2018,"Naro-Maciel, E; Arengo, F; Galante, P; Vintinner, E; Holmes, Ke; Balazs, G; Sterling, Ej",Endangered Species Research,10.3354/esr00922,https://www.int-res.com/abstracts/esr/v37/p165-182/,2018-10-29,Endang. Species. Res.
"distribution, size frequency, and sex ratios of blacktip reef sharks <i>carcharhinus melanopterus</i> at palmyra atoll: a predator-dominated ecosystem",2009,"Papastamatiou, Y.P.; Caselle, J.E.; Friedlander, A.M.; Lowe, C.G.",Journal of Fish Biology,10.1111/j.1095-8649.2009.02329.x,http://doi.wiley.com/10.1111/j.1095-8649.2009.02329.x,2009-08,NA
long-term movement patterns and trophic ecology of blacktip reef sharks (carcharhinus melanopterus) at palmyra atoll,2010,"Papastamatiou, Yannis P.; Friedlander, Alan M.; Caselle, Jennifer E.; Lowe, Christopher G.",Journal of Experimental Marine Biology and Ecology,10.1016/j.jembe.2010.02.009,https://linkinghub.elsevier.com/retrieve/pii/S0022098110000535,2010-04,Journal of Experimental Marine Biology and Ecology
area-restricted searching by manta rays and their response to spatial scale in lagoon habitats,2012,"Papastamatiou, Yp; DeSalles, Pa; McCauley, Dj",Marine Ecology Progress Series,10.3354/meps09721,http://www.int-res.com/abstracts/meps/v456/p233-244/,2012-06-07,Mar. Ecol. Prog. Ser.
"first records of the sicklefin lemon shark, negaprion acutidens, at palmyra atoll, central pacific: a recent colonization event?",2014,"Papastamatiou, Yannis P.; Wood, Chelsea L.; Bradley, Darcy; McCauley, Douglas J.; Pollock, Amanda L.; Caselle, Jennifer E.",Marine Biodiversity Records,10.1017/S175526721400116X,http://www.journals.cambridge.org/abstract_S175526721400116X,2014,Mar. Biodivers. Rec.
field observations of wave-driven circulation over spur and groove formations on a coral reef,2015,"Rogers, Justin S.; Monismith, Stephen G.; Dunbar, Robert B.; Koweek, David",Journal of Geophysical Research: Oceans,10.1002/2014JC010464,http://doi.wiley.com/10.1002/2014JC010464,2015-01,J. Geophys. Res. Oceans
thermodynamics and hydrodynamics in an atoll reef system and their influence on coral cover: atoll thermal & hydro-dynamics & coral effects,2016,"Rogers, Justin S.; Monismith, Stephen G.; Koweek, David A.; Torres, Walter I.; Dunbar, Robert B.",Limnology and Oceanography,10.1002/lno.10365,http://doi.wiley.com/10.1002/lno.10365,2016-11,Limnol. Oceanogr.
effects of diagenesis on paleoclimate reconstructions from modern and young fossil corals,2011,"Sayani, Hussein R.; Cobb, Kim M.; Cohen, Anne L.; Elliott, W. Crawford; Nurhati, Intan S.; Dunbar, Robert B.; Rose, Kathryn A.; Zaunbrecher, Laura K.",Geochimica et Cosmochimica Acta,10.1016/j.gca.2011.08.026,https://linkinghub.elsevier.com/retrieve/pii/S0016703711004820,2011-11,Geochimica et Cosmochimica Acta
"abundance, diversity, and activity of microbial assemblages associated with coral reef fish guts and feces: microbial assemblages associated with coral reef fish guts",2010,"Smriga, Steven; Sandin, Stuart A.; Azam, Farooq",FEMS Microbiology Ecology,10.1111/j.1574-6941.2010.00879.x,https://academic.oup.com/femsec/article-lookup/doi/10.1111/j.1574-6941.2010.00879.x,2010-03-30,NA
ecology and conservation of marine turtles in a central pacific foraging ground,2013,"Sterling, Eleanor J.; McFadden, Katherine W.; Holmes, Katherine E.; Vintinner, Erin C.; Arengo, Felicity; Naro-Maciel, Eugenia",Chelonian Conservation and Biology,10.2744/CCB-1014.1,http://www.bioone.org/doi/abs/10.2744/CCB-1014.1,2013-07,Chelonian Conservation and Biology
human impacts on the species?area relationship in reef fish assemblages,2007,"Tittensor, Derek P.; Micheli, Fiorenza; Nyström, Magnus; Worm, Boris",Ecology Letters,10.1111/j.1461-0248.2007.01076.x,http://doi.wiley.com/10.1111/j.1461-0248.2007.01076.x,2007-09,Ecol Letters
"new records of <i>hyachelia tortugae</i> barnard, 1967, and <i>h. lowryi</i> serejo and sittrop, 2009 (amphipoda: gammaridea: hyalidae), from palmyra atoll national wildlife refuge: cooccurrence on pacific green turtles ( <i>chelonia mydas</i> ).",2014,"Yabut, Mia G.; Lazo-Wasem, Eric A.; Sterling, Eleanor J.; Gómez, Andrés",American Museum Novitates,10.1206/3809.1,http://www.bioone.org/doi/abs/10.1206/3809.1,2014-07-30,American Museum Novitates
stable isotope analysis as an early monitoring tool for community‐scale effects of rat eradication,2017,"Nigro, Katherine M.; Hathaway, Stacie A.; Wegmann, Alex S.; Miller‐ter Kuile, Ana; Fisher, Robert N.; Young, Hillary S.",Restoration Ecology,10.1111/rec.12511,https://onlinelibrary.wiley.com/doi/10.1111/rec.12511,2017-11,Restor Ecol
stable isotopes in barnacles as a tool to understand green sea turtle (&lt;i&gt;chelonia mydas&lt;/i&gt;) regional movement patterns,2015,"Detjen, M.; Sterling, E.; Gómez, A.",Biogeosciences,10.5194/bg-12-7081-2015,https://bg.copernicus.org/articles/12/7081/2015/,2015-12-08,Biogeosciences
proximity to encroaching coconut palm limits native forest water use and persistence on a pacific atoll: water use strategies of native trees on atolls,2015,"Krauss, Ken W.; Duberstein, Jamie A.; Cormier, Nicole; Young, Hillary S.; Hathaway, Stacie A.",Ecohydrology,10.1002/eco.1601,https://onlinelibrary.wiley.com/doi/10.1002/eco.1601,2015-12,Ecohydrol.
"ords : chew block, detection device, indicator block, monitoring, non-target, palmyra atoll, rodent detection proc. 26",2012,"Oberg, Erik; Alifano, Aurora; Pott, Madeleine; Wegmann, Alex",NA,NA,NA,2012,NA
invasive rat eradication strongly impacts plant recruitment on a tropical atoll,2018,"Wolf, Coral A.; Young, Hillary S.; Zilliacus, Kelly M.; Wegmann, Alexander S.; McKown, Matthew; Holmes, Nick D.; Tershy, Bernie R.; Dirzo, Rodolfo; Kropidlowski, Stefan; Croll, Donald A.",PLOS ONE,10.1371/journal.pone.0200743,https://dx.plos.org/10.1371/journal.pone.0200743,2018-07,NA
pushing the envelope in paradise : a novel approach to rat eradication at palmyra atoll,2012,"Wegmann, Alexander; Flint, Elizabeth; White, Susan; Fox, Mark; Howald, Gregg; Mcclelland, Pete; Alifano, Aurora; Griffiths, Richard",25th Vertebrate Pest Conference,NA,NA,2012,NA
rat eradication campaigns on tropical islands: novel challenges and possible solutions,2011,"Wegmann, A; Buckelew, S; Howald, G; Helm, J; Swinnerton, K",Island invasives: eradication and management.,NA,NA,2011,NA
rats to palm trees: baiting the canopy during the palmyra atoll rat eradication project,2011,"Wegmann, Alexander; Stansbury, Rory; Alifano, Aurora; Oberg, Erik; Pott, Madeleine; Mcclelland, Pete; Howald, Gregg",Proc. 26th Vertebr. Pest Conf.,NA,NA,2011,NA
"no detection of brodifacoum residues in the marine and terrestrial food web three years after rat eradication at palmyra atoll , central paci fi c",2019,"Wegmann, A; Howald, G; Kropidlowski, S; Holmes, N; Shiels, A B",NA,NA,NA,2019,NA
"non-target species mortality and the measurement of brodifacoum rodenticide residues after a rat (rattus rattus) eradication on palmyra atoll, tropical pacific",2015,"Pitt, William C.; Berentsen, Are R.; Shiels, Aaron B.; Volker, Steven F.; Eisemann, John D.; Wegmann, Alexander S.; Howald, Gregg R.",Biological Conservation,10.1016/j.biocon.2015.01.008,http://dx.doi.org/10.1016/j.biocon.2015.01.008,2015,NA
successes and failures of rat eradications on tropical islands : a comparative review of eight recent projects,2019,"Brown, D; Tershy, B; Pitt, W C; Cuthbert, R J; Wegmann, A; Keitt, B; Cranwell, S; Howald, G; Conservation, Island; Cruz, Santa; Conservation, Coastal; Cruz, Santa; Conservation, Smithsonian; Royal, Front; International, Birdlife; Conservation, Island; Columbia, British",NA,NA,NA,2019,NA
